DATA,2__BAIRRO_ONDE_MORA,CIDADE_ONDE_MORA,3__COM_QUEM_VIVE,4__NATURAL_DE,ESTADO_NATURAL,5__HA_QUANTO_ANOS_EM_JOAO_PESSOA,6__VOCE_ENCONTROU_O_QUE_PROCURAVA_NA_FEIRA,"6_1_SE_A_RESPOSTA_ACIMA_FOR_NAO,_O_QUE_VOCE_NAO_ENCONTROU",7__SENTIU_FALTA_DE_ALGUM_PRODUTO,"7_1_SE_A_RESPOSTA_ACIMA_FOR_SIM,_QUAL_PRODUTO_VOCE_SENTIU_FALTA",8__DO_QUE_MAIS_GOSTOU,9__QUANTO_COMPROU_DE_ARTESANATO_NA_FEIRA,10__COMPROU_PRINCIPALMENTE,10_1_O_ARTESANATO_QUE_VOCE_COMPROU_FOI_DE_USO,11__DESTINO_DA_COMPRA,12__PRINCIPAL_MOTIVACAO_DA_COMPRA,13__VOCE_SE_CONSIDERA_UM_COMPRADOR_DE_ARTESANATO,14__QUANTAS_PECAS_DE_ARTESANATO_VOCE_ESTIMA_TER_EM_SUA_CASA,15_QUANTAS_SAO_DO_ARTESANATO_PARAIBANO,16_QUAL_SUA_SUGESTAO_PARA_MELHORAR_OU_DIVERSIFICAR_O_ARTESANATO_PARAIBANO
2022-02-03 18:58:02.806,CABO BRANCO,JOÃO PESSOA,COM COMPANHEIRO (A),JOÃO PESSOA,PB,20.0,SIM,NAN,NAN,NAN,DIVERSIDADE,NAN,ARTESANATO TRADICIONAL,UTILITÁRIOS,USO PRÓPRIO,UTILIDADE,EVENTUAL OU OCASIONAL,8.0,4.0,SUGESTÃO QUE TIVESSE UM EVENTO NO INÍCIO DE JANEIRO QUE POSSIVELMENTE TERÍAMOS MAIS TURISTAS NA CIDADE
2022-02-03 18:59:48.621,CABO BRANCO,JOÃO PESSOA,COM FAMÍLIA,CABACEIRAS,PB,40.0,SIM,NAN,NÃO,NAN,"PEÇAS DE RENASCENÇA, BORDADOS, FLORES DE ESCAMA DE PEIXE, CROCHÊ",80.0,ARTESANATO TRADICIONAL,"PESSOAL, PRESENTE",USO PRÓPRIO,BELEZA,FREQUENTE OU ASSÍDUO,10.0,10.0,"SEM SUGESTÃO, ESTÁ TUDO ÓTIMO."
2022-02-03 19:05:35.456,PORTAL DO SOL,JOÃO PESSOA,COM COMPANHEIRO (A),JOÃO PESSOA,PB,20.0,NAN,NAN,SIM,ACHOU QUE OS OUTROS ANOS TINHA UMA MAIOR NÚMERO DE ARTESÃOS,TEMA DO MAR,NAN,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,15.0,10.0,MELHOR DIVULGAÇÃO
2022-02-03 19:09:16.377,GEISEL,JOÃO PESSOA,SOZINHO,VITÓRIA DE SANTO ANTÃO,PE,2.0,SIM,NAN,NAN,NAN,DECORAÇÃO DA FEIRA,200.0,ARTESANATO TRADICIONAL,"PESSOAL, DECORAÇÃO",USO PRÓPRIO,UTILIDADE,FREQUENTE OU ASSÍDUO,10.0,0.0,SUGESTÃO CLIMATIZAÇÃO PRÓX FEIRA
2022-02-03 19:12:21.867,BANCARIOS,JOÃO PESSOA,COM COMPANHEIRO (A),RECIFE,PE,1.0,SIM,NAN,NÃO,NAN,CROCHÊ,60.0,ARTESANATO TRADICIONAL,"PESSOAL, UTILITÁRIOS",USO PRÓPRIO,UTILIDADE,EVENTUAL OU OCASIONAL,0.0,,SUGESTÃO MELHORAR ESTRUTURA CLIMATIZAÇÃO
2022-02-03 19:13:58.322,TAMBAU,JOÃO PESSOA,SOZINHO,NAN,NAN,0.5833333333,SIM,NAN,NÃO,NAN,"PEÇAS DE RENASCENÇA , MANDALAS COM AREIA,INSTRUMENTOS DE MADEIRA",,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,10.0,5.0,MAIS DIVULGAÇÃO E DAR OPORTUNIDADE A MAIS ARTESÃOS.
2022-02-03 19:18:29.844,ALTIPLANO CABO BRANCO,JOÃO PESSOA,COM FAMÍLIA,FORTALEZA,CE,20.0,SIM,NAN,SIM,ACHOU MUITOS PRODUTOS REPETIDOS,LUMINÁRIAS DE PALHA,150.0,ARTESANATO TRADICIONAL,DECORAÇÃO,USO PRÓPRIO,BELEZA,EVENTUAL OU OCASIONAL,20.0,10.0,DIVERSIFICAR OS PRODUTOS
2022-02-03 19:20:06.729,PORTAL DO SOL,JOÃO PESSOA,COM FAMÍLIA,JOAO PESSOA,PB,20.0,SIM,NAN,NÃO,NAN,PEÇAS DE CROCHÊ,40.0,ARTESANATO TRADICIONAL,PESSOAL,USO PRÓPRIO,BELEZA,EVENTUAL OU OCASIONAL,5.0,3.0,SEM SUGESTÃO
2022-02-03 19:23:08.651,ESTADOS,JOÃO PESSOA,COM FAMÍLIA,SÃO BERNARDO DO CAMPO,SP,19.0,NAN,NAN,NAN,NAN,"VARIEDADE DE PRODUTOS,ORGANIZAÇÃO POR MATERIAL",NAN,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,20.0,,NENHUMA
2022-02-03 19:24:22.419,ESTADOS,JOÃO PESSOA,COM FAMÍLIA,SÃO PAULO,SP,19.0,SIM,NAN,SIM,PEÇAS COM OSSOS,"PEÇAS DE RENASCENÇA, PEÇAS COM ESCAMAS DE PEIXES",100.0,ARTESANATO TRADICIONAL,"DECORAÇÃO, PRESENTE, UTILITÁRIOS",PRESENTE,PREÇO,EVENTUAL OU OCASIONAL,500.0,500.0,TER FEIRAS MAIS VEZES AO ANO ( 1 VEZ AO MÊS )
2022-02-03 19:28:40.971,TAMBAUZINHO,JOÃO PESSOA,COM FAMÍLIA,VARZEA,PB,11.0,SIM,NAN,NÃO,NAN,PEÇAS DE MADEIRA,,NAN,NAN,NAN,NAN,FREQUENTE OU ASSÍDUO,30.0,30.0,MAIS FEIRAS AO ANO
2022-02-04 17:21:47.670,ALTIPLANO CABO BRANCO,JOÃO PESSOA,COM FAMÍLIA,JOÃO PESSOA,PB,57.0,SIM,NAN,NÃO,NAN,"PEÇAS DE RENDA, LUMINÁRIAS",300.0,ARTESANATO CONTEMPORÂNEO,"DECORAÇÃO, PRESENTE",PRESENTE,BELEZA,EVENTUAL OU OCASIONAL,10.0,10.0,SEM SUGESTÃO.
2022-02-04 17:28:47.092,JOAO AGRIPINO,JOÃO PESSOA,COM FAMÍLIA,JOÃO PESSOA,PB,,SIM,NAN,SIM,COCA FEMININO ÍNDIOS,GOSTOU DE TUDO,400.0,ARTESANATO TRADICIONAL,PESSOAL,USO PRÓPRIO,BELEZA,FREQUENTE OU ASSÍDUO,20.0,10.0,NAN
2022-02-04 17:31:23.288,TAMBAUZINHO,JOÃO PESSOA,COM FAMÍLIA,JOÃO PESSOA,PB,52.0,SIM,NAN,NÃO,NAN,"PEÇAS DE ALGODÃO COLORIDO, PEÇAS DE COURO,PEÇAS DE CERÂMICA",50.0,ARTESANATO CONTEMPORÂNEO,PESSOAL,USO PRÓPRIO,BELEZA,EVENTUAL OU OCASIONAL,10.0,10.0,MELHORAR A DIVULGAÇÃO DAS FEIRAS
2022-02-04 17:42:02.780,CABO BRANCO,JOÃO PESSOA,COM FAMÍLIA,RIO DE JANEIRO,RJ,7.0,NÃO,"PÁSSAROS DE FELTRO E CROCHÊ, SAIA ACIMA DO JOELHO DE ALGODÃO NATURAL",SIM,NAN,"ESCULTURAS DE MADEIRA,DE FERRO",400.0,ARTESANATO CONTEMPORÂNEO,"PESSOAL, DECORAÇÃO",USO PRÓPRIO,BELEZA,EVENTUAL OU OCASIONAL,,2.0,"DIVERSIFICAR MAIS OS PRODUTOS DA FEIRA, TER MAIS ARTISTAS DO LOCA, VARIAR O ARTESANATO, TER OPÇÕES MAIS CRIATIVAS"
2022-02-04 17:51:27.989,MANAIRA,JOÃO PESSOA,COM FAMÍLIA,SÃO PAULO,SP,15.0,NÃO,CARTEIRA DE COURO,NÃO,NAN,TUDO MUITO IGUAL,,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,0.0,,DIVERSIFICAR AS PEÇAS. ACHOU AS PEÇAS IGUAIS AOS OUTROS ANOS
2022-02-04 17:54:58.504,MANGABEIRA,JOÃO PESSOA,COM COMPANHEIRO (A),JOÃO PESSOA,PB,,SIM,NAN,SIM,ARTESANATO COM CRISTAIS,QUADROS DE PAPEL MACHÊ,10.0,ARTESANATO TRADICIONAL,PRESENTE,PRESENTE,PREÇO,FREQUENTE OU ASSÍDUO,20.0,20.0,SEM SUGESTÃO
2022-02-04 18:08:05.704,CASTELO BRANCO,JOÃO PESSOA,COM FAMÍLIA,JOÃO PESSOA,PB,,SIM,NAN,NÃO,NAN,BOLSAS DE CROCHÊ,800.0,ARTESANATO TRADICIONAL,"PESSOAL, DECORAÇÃO, PRESENTE, UTILITÁRIOS",USO PRÓPRIO,BELEZA,EVENTUAL OU OCASIONAL,10.0,10.0,NÃO TEM SUGESTÕES
2022-02-04 18:11:55.319,CABO BRANCO,JOÃO PESSOA,SOZINHO,SÃO PAULO,SP,0.08333333333,SIM,NAN,NÃO,NAN,"PEÇAS DE CROCHÊ, COSMÉTICOS NATURAIS,PEÇAS DE MADEIRA",900.0,ARTESANATO TRADICIONAL,"DECORAÇÃO, PRESENTE",USO PRÓPRIO,BELEZA,FREQUENTE OU ASSÍDUO,10.0,6.0,"MAIOR DURAÇÃO NAS FEIRAS. ESTUDAR MELHOR A QUANTIDADE DE REPOSIÇÃO. NESSA FEIRA ESPECÍFICA NÃO, MAS NAS FEIRAS FIXAS GOSTARIA QUE TIVESSE MAIS VARIEDADE, POIS ACHA AS PEÇAS MUITO REPETIDAS."
2022-02-04 18:14:38.222,COLIBRIS,JOÃO PESSOA,COM COMPANHEIRO (A),JOÃO PESSOA,PB,30.0,SIM,NAN,NÃO,NAN,"COURO,HABILIDADES MANUAIS",100.0,ARTESANATO TRADICIONAL,PESSOAL,USO PRÓPRIO,UTILIDADE,FREQUENTE OU ASSÍDUO,20.0,8.0,SINALIZAÇÃO DO EVENTO INDICANDO LOCALIZAÇÃO DOS ARTESÃOS
2022-02-04 18:41:18.814,CABO BRANCO,JOÃO PESSOA,COM COMPANHEIRO (A),ESPERANÇA,PB,31.0,SIM,NAN,NÃO,NAN,ARTESANATO COM AS CONCHAS DO MAR,45.0,ARTESANATO CONTEMPORÂNEO,DECORAÇÃO,USO PRÓPRIO,BELEZA,EVENTUAL OU OCASIONAL,3.0,3.0,"GOSTOU, ACHOU A FEIRA MAIS SOFISTICADA QUE O MERCADO DE ARTESANATO"
2022-02-04 18:49:42.635,BANCARIOS,JOÃO PESSOA,COM COMPANHEIRO (A),JOÃO PESSOA,PB,,SIM,NAN,NÃO,NAN,PEÇAS DE METAL ( ESCULTURAS EM SUCATA),,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,50.0,50.0,PRODUZIR PEÇAS MAIS VARIADAS ( MAIS NOVIDADES)
2022-02-04 18:50:10.717,JARDIM OCEANIA,JOÃO PESSOA,SOZINHO,CAMPINA GRANDE,PB,2.0,SIM,NAN,NÃO,NAN,ARTESANATO COM ESCAMAS (LUMINÁRIAS),0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,4.0,,"O SOM MUITO ALTO, O BARULHO ATRAPALHOU COMUNICAÇÃO COM OS ARTESÃOS"
2022-02-04 18:55:23.223,MANAIRA,JOÃO PESSOA,SOZINHO,SÃO JOSÉ DO EGITO,PE,11.0,SIM,NAN,NÃO,NAN,"TRABALHOS DE BARRO , ARTESÃ DE SERRA DE BRANCA , MARIA",0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,5.0,0.0,TRANSFERIR  O ARTESANATO BARRO EM PORCELANA
2022-02-04 18:59:09.824,TREZE DE MAIO,JOÃO PESSOA,COM FAMÍLIA,JOÃO PESSOA,PB,,SIM,NAN,NÃO,NAN,"ORGANIZAÇÃO , PEÇAS DE BARRO",0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,6.0,6.0,AUMENTAR DIVULGAÇÃO EM REDE SOCIAL
2022-02-04 19:01:07.571,IPES,JOÃO PESSOA,COM FAMÍLIA,JOÃO PESSOA,PB,21.0,SIM,NAN,SIM,NAN,PEÇAS DE CERÂMICA,0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,5.0,4.0,INVESTIR EM TECNOLOGIA NO ARTESANATO
2022-02-04 19:02:28.114,TAMBAU,JOÃO PESSOA,SOZINHO,MINAS GERAIS,MG,8.0,SIM,NAN,SIM,ARTESANATO DE RENDA BILRO,"PEÇAS DE RENASCENÇA,PEÇAS DE CERÂMICA",200.0,ARTESANATO TRADICIONAL,PESSOAL,USO PRÓPRIO,BELEZA,FREQUENTE OU ASSÍDUO,12.0,8.0,PODERIA TER WORKSHOPS NOS SALÕES DE ARTESANATO. EX: AULAS DE ARTESANATO COM CERÂMICA DENTRO DO SALÃO.
2022-02-04 19:10:36.765,MIRAMAR,JOÃO PESSOA,COM COMPANHEIRO (A),ITAPORANGA,PB,30.0,NÃO,NÃO GOSTOU DE VER TECIDO POLIESTER DA CHINA VENDIDA COMO ARTESANATO,NÃO,NAN,FLORES DE PALHA DE COQUEIRO,0.0,NAN,NAN,NAN,NAN,FREQUENTE OU ASSÍDUO,20.0,10.0,"EXPOR PRODUTOS DE MELHOR QUALIDADE NO SALÃO, PRODUTOS QUE JÁ EXISTEM NO ARTESANATO PARAIBANO E NÃO ESTÃO EXPOSTOS"
2022-02-04 19:14:28.313,MANGABEIRA,JOÃO PESSOA,SOZINHO,RIO DE JANEIRO,RJ,38.0,SIM,NAN,NÃO,NAN,GOSTOU DE TUDO,250.0,ARTESANATO CONTEMPORÂNEO,"PESSOAL, UTILITÁRIOS",USO PRÓPRIO,NOVIDADE,FREQUENTE OU ASSÍDUO,200.0,200.0,DEVERIA TER MAIS DIVULGAÇÃO DO TRABALHO DOS ARTESÃOS. FEIRAS DE ARTESANATO DEVEM SER SEMPRE NA ORLA
2022-02-04 19:16:14.356,MANAIRA,JOÃO PESSOA,COM FAMÍLIA,JOÃO PESSOA,PB,40.0,SIM,NAN,NÃO,NAN,"BATERIA DE MADEIRA,A IMAGEM DE MARIA MENINA",0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,20.0,20.0,"NÃO TINHA SUGESTÃO, GOSTOU DE TUDO"
2022-02-04 19:22:25.577,CABO BRANCO,JOÃO PESSOA,SOZINHO,BANANEIRAS,PB,50.0,SIM,NAN,NÃO,NAN,PEÇAS DE MADEIRA,,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,5.0,5.0,GOSTARIA QUE A PEÇAS TIVESSEM MAIS QUALIDADE E INOVAÇÃO
2022-02-04 19:23:00.734,CABO BRANCO,JOÃO PESSOA,SOZINHO,ARARUNA,PB,62.0,SIM,NAN,NÃO,NAN,RENDA RENASCENÇA,0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,,,NÃO TEM SUGESTÃO
2022-02-04 19:28:02.187,TAMBAU,JOÃO PESSOA,SOZINHO,JOÃO PESSOA,PB,,SIM,NAN,SIM,REDES,LUMINÁRIAS PVC,25.0,ARTESANATO TRADICIONAL,UTILITÁRIOS,USO PRÓPRIO,BELEZA,FREQUENTE OU ASSÍDUO,7.0,7.0,"MUITO PRODUTO REPETIDO, PRECISA VARIAR OS PRODUTOS"
2022-02-04 19:29:43.659,TAMBAU,JOÃO PESSOA,COM FAMÍLIA,RIO DE JANEIRO,RJ,4.0,SIM,NAN,SIM,TRABALHOS DE MADEIRA ( ASSOCIAÇÃO DE EX VICIADOS),GOSTOU DE TUDO,50.0,ARTESANATO CONTEMPORÂNEO,DECORAÇÃO,USO PRÓPRIO,NOVIDADE,EVENTUAL OU OCASIONAL,20.0,10.0,"TER FEIRAS PELO MENOS 2 VEZES AO ANO, TER MAIS DIVULGAÇÃO E MAIS OPÇÕES DE LOJINHAS."
2022-02-04 19:33:07.760,TAMBAUZINHO,JOÃO PESSOA,COM COMPANHEIRO (A),JOÃO PESSOA,PB,,NÃO,CENTRO DE MESA,SIM,CENTRO DE MESA,RENDA,,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,10.0,10.0,PROGRAMAS DE INCENTIVO PARA OS ARTESÃOS E PROMOVER MAIS EXPOSIÇÕES.
2022-02-04 19:34:02.113,TORRE,JOÃO PESSOA,COM FAMÍLIA,RIO DE JANEIRO,RJ,24.0,SIM,NAN,NÃO,NAN,CROCHÊS,0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,6.0,6.0,"NÃO TEM SUGESTÃO, GOSTOU DE TUDO"
2022-02-04 19:36:24.687,MANGABEIRA,JOÃO PESSOA,SOZINHO,JOÃO PESSOA,PB,23.0,SIM,NAN,NÃO,NAN,PEÇAS DE COURO,45.0,ARTESANATO TRADICIONAL,PESSOAL,USO PRÓPRIO,BELEZA,FREQUENTE OU ASSÍDUO,30.0,25.0,TER MAIS FEIRAS E TER MAIS DIVULGAÇÃO
2022-02-04 19:43:19.053,ALTIPLANO CABO BRANCO,JOÃO PESSOA,COM COMPANHEIRO (A),PATOS,PB,23.0,SIM,NAN,NÃO,NAN,GOSTOU DE TUDO,0.0,NAN,NAN,NAN,NAN,FREQUENTE OU ASSÍDUO,30.0,30.0,"MELHORAR VENTILAÇÃO, SEM SUGESTÃO PARA OS PRODUTOS"
2022-02-04 19:46:27.938,CABO BRANCO,JOÃO PESSOA,COM FAMÍLIA,SÃO PAULO,SP,2.0,SIM,NAN,NÃO,NAN,"FIOS,PEÇAS DE CERÂMICA",120.0,ARTESANATO CONTEMPORÂNEO,DECORAÇÃO,USO PRÓPRIO,BELEZA,EVENTUAL OU OCASIONAL,20.0,20.0,SEM SUGESTÃO
2022-02-04 19:49:38.831,ALTIPLANO CABO BRANCO,JOÃO PESSOA,SOZINHO,JUAZEIRO,BA,14.0,SIM,NAN,NÃO,NAN,CHALES DE TRICOT,80.0,ARTESANATO TRADICIONAL,PRESENTE,PRESENTE,BELEZA,EVENTUAL OU OCASIONAL,5.0,5.0,NAO TEM
2022-02-04 19:50:57.948,ROGER,JOÃO PESSOA,COM FAMÍLIA,JOÃO PESSOA,PB,32.0,SIM,NAN,NÃO,NAN,BONECAS DE PANO,60.0,ARTESANATO TRADICIONAL,PRESENTE,PRESENTE,BELEZA,EVENTUAL OU OCASIONAL,0.0,0.0,TER MAIS EXPOSIÇÕES COM O TRABALHO DOS ARTESÃOS
2022-02-04 19:58:56.942,AGUA FRIA,JOÃO PESSOA,COM FAMÍLIA,JOÃO PESSOA,PB,58.0,SIM,NAN,NÃO,NAN,BORDADOS,,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,2.0,2.0,TENHAM MAIS FEIRAS COMO ESSA.
2022-02-04 20:00:58.431,CRISTO REDENTOR,JOÃO PESSOA,COM FAMÍLIA,JOÃO PESSOA,PB,28.0,SIM,NAN,NÃO,NAN,FIOS,NAN,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,3.0,0.0,"SEM SUGESTÃO, ACHA TUDO LINDO."
2022-02-04 20:01:09.166,NAN,NAN,COM FAMÍLIA,GUARABIRA,PB,30.0,SIM,NAN,NÃO,NAN,"ARTESANATO DE MADEIRA, ABAJUR CAULE DE COQUEIRO",50.0,ARTESANATO TRADICIONAL,UTILITÁRIOS,PRESENTE,BELEZA,EVENTUAL OU OCASIONAL,3.0,3.0,NÃO TEM SUGESTÃO
2022-02-04 20:26:00.246,MANAIRA,JOÃO PESSOA,COM FAMÍLIA,PATOS,PB,34.0,SIM,NAN,NÃO,NAN,BRINQUEDO,100.0,ARTESANATO TRADICIONAL,UTILITÁRIOS,USO PRÓPRIO,BELEZA,EVENTUAL OU OCASIONAL,4.0,4.0,"NÃO TEM SUGESTÃO, GOSTOU DE TUDO"
2022-02-04 20:29:20.724,ALTIPLANO CABO BRANCO,JOÃO PESSOA,COM FAMÍLIA,MATO GROSSO DO SUL,MS,3.0,SIM,NAN,NÃO,NAN,ABAJUR DE PVC,0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,30.0,7.0,"SER NO CENTRO DE CONVENÇÕES, ACHA O ESPAÇO MELHOR"
2022-02-04 20:32:06.843,BRISAMAR,JOÃO PESSOA,COM COMPANHEIRO (A),NAN,PE,3.0,SIM,NAN,NÃO,NAN,DOCES,0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,4.0,2.0,GOSTOU DE TUDO
2022-02-04 20:37:23.023,BESSA,JOÃO PESSOA,COM FAMÍLIA,RIO DE JANEIRO,RJ,15.0,SIM,NAN,NÃO,NAN,GORROS INFANTIS,70.0,ARTESANATO CONTEMPORÂNEO,PESSOAL,USO PRÓPRIO,NOVIDADE,EVENTUAL OU OCASIONAL,10.0,10.0,"ABRIR ESPAÇO PARA TER ARTESANATO DE OUTRAS CIDADES, OUTRAS CIDADES DO NORDESTE"
2022-02-04 20:40:13.223,TORRE,JOÃO PESSOA,COM FAMÍLIA,JOÃO PESSOA,PB,,SIM,NAN,SIM,GASTRONOMIA- CALDINHOS,"DA ORGANIZAÇÃO,DAS BONECAS DE PANO",0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,6.0,6.0,SEM SUGESTÃO
2022-02-04 20:50:39.213,JARDIM OCEANIA,JOÃO PESSOA,COM FAMÍLIA,SÃO PAULO,SP,12.0,SIM,NAN,NÃO,NAN,"ESCULTURAS DE CERÂMICA , AMOR CULTIVADO , ANA MARIA ESTILISTA",500.0,ARTESANATO CONTEMPORÂNEO,"PRESENTE, UTILITÁRIOS",USO PRÓPRIO,NOVIDADE,EVENTUAL OU OCASIONAL,20.0,,MANTER O PADRÃO DO EVENTO OU SER SUPERIOR A ESSE ANO
2022-02-04 20:54:04.291,BANCARIOS,JOÃO PESSOA,SOZINHO,NATAL,RN,0.25,SIM,NAN,NÃO,NAN,"VARIEDADE DOS PRODUTOS , LUMINÁRIAS DE PVC",0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,,0.0,"NÃO TEM, GOSTOU DE TUDO"
2022-02-04 21:03:08.082,JOSE AMERICO,JOÃO PESSOA,COM FAMÍLIA,JOÃO PESSOA,PB,32.0,SIM,NAN,NÃO,NAN,INFANTIL,0.0,NAN,NAN,NAN,NAN,EVENTUAL OU OCASIONAL,10.0,10.0,CONTINUAR INCENTIVANDO O ARTESANATO PARAIBANO
